class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21
One,0.416196734,0.863850951,3.83E-07,0.449295878,0.831170976,-0.024476644,0.482840061,0.719790101,-0.037764449,0.481981039,0.633465886,-0.050622087,0.44956556,0.58133328,-0.064639717,0.430418193,0.566172838,-0.022481911,0.421815246,0.450236499,-0.043665409,0.42089203,0.364467263,-0.057738319,0.415032804,0.298852444,-0.067536473,0.393785596,0.579475939,-0.027289148,0.382305413,0.436639965,-0.058822263,0.417901903,0.484041512,-0.070766717,0.439565152,0.540477931,-0.070690006,0.362463444,0.619155228,-0.034050718,0.354671359,0.499501288,-0.069048792,0.397513241,0.555867791,-0.066292197,0.420300573,0.618234217,-0.054977667,0.329176843,0.680697978,-0.042551026,0.328087509,0.591669679,-0.071248122,0.364176631,0.621985018,-0.068236299,0.384957612,0.669496894,-0.059490222
One,0.402852565,0.876655459,3.09E-07,0.442704916,0.826288223,-0.022635946,0.471479714,0.706888258,-0.035854671,0.468199939,0.617601573,-0.049883232,0.436014295,0.563148737,-0.064338632,0.41437453,0.541439295,-0.014639731,0.404671848,0.420801818,-0.034165014,0.405495286,0.347017974,-0.048255295,0.403324038,0.294702053,-0.057301812,0.3786349,0.559023499,-0.019868353,0.359735817,0.408449292,-0.049584132,0.395175964,0.436582744,-0.064293109,0.419642955,0.487867236,-0.06625849,0.347890824,0.600611091,-0.027211372,0.334742963,0.472421706,-0.060387481,0.380431473,0.513648331,-0.062726505,0.407146573,0.574024439,-0.054947078,0.316334635,0.664533377,-0.036170918,0.315156102,0.563996315,-0.064008661,0.352766871,0.582632065,-0.06412372,0.376748204,0.628437102,-0.057426542
One,0.396258205,0.891994178,2.23E-07,0.438062131,0.822056293,-0.019381994,0.464251965,0.694281161,-0.030401209,0.457728028,0.595485926,-0.04302863,0.421191871,0.551212311,-0.055393651,0.410453856,0.536816955,-0.005576582,0.405807018,0.415729344,-0.022381488,0.405284494,0.341224939,-0.035182755,0.400660038,0.283309579,-0.044584855,0.373367906,0.550340891,-0.013083874,0.352691442,0.391283214,-0.043534555,0.387670785,0.426100791,-0.058183003,0.410831809,0.482737392,-0.059200425,0.341700554,0.587292373,-0.02262762,0.327957541,0.454145133,-0.055508096,0.374513209,0.495455712,-0.057268023,0.400533766,0.555393755,-0.04874669,0.309471399,0.646413267,-0.033787541,0.309911221,0.547095299,-0.060102966,0.34640044,0.565829217,-0.059407286,0.368011713,0.609659314,-0.052388173
One,0.385525048,0.905640244,1.85E-07,0.43227905,0.829212725,-0.018167378,0.459543705,0.701118529,-0.028400775,0.453060925,0.598535657,-0.040649708,0.414822102,0.55879128,-0.053076912,0.408335596,0.53640151,-0.006358865,0.408099473,0.406846374,-0.021919595,0.407318056,0.328762293,-0.035454154,0.402204454,0.265220016,-0.046378534,0.369115412,0.550020993,-0.015153702,0.349197596,0.386570901,-0.045326103,0.378707081,0.416523099,-0.062136527,0.398585737,0.473762214,-0.065871954,0.335284084,0.589113891,-0.025490552,0.319719702,0.443410516,-0.057192978,0.363503337,0.480642915,-0.06157596,0.390212953,0.542480052,-0.056287877,0.301269263,0.651009202,-0.037406642,0.299559712,0.547196269,-0.064279772,0.335702777,0.567032218,-0.065634288,0.359775394,0.616458952,-0.060703784
One,0.375671208,0.916164994,2.31E-07,0.420434922,0.837883115,-0.021806698,0.449156702,0.71083349,-0.03582165,0.437959015,0.607645869,-0.051042791,0.395352811,0.574281752,-0.066600613,0.392436743,0.542271018,-0.016247563,0.39413324,0.40478456,-0.034810383,0.395111024,0.322035104,-0.048902512,0.390644401,0.251103848,-0.060602713,0.350575238,0.558621705,-0.02572198,0.328889161,0.382981956,-0.060429476,0.363467187,0.434752494,-0.075624511,0.38655737,0.504401565,-0.076838382,0.316602528,0.60411936,-0.036515009,0.296558022,0.453164548,-0.071109332,0.342712462,0.501055717,-0.071689315,0.370730072,0.567186654,-0.062899716,0.283000708,0.673999131,-0.04924487,0.274536788,0.566970587,-0.076899499,0.313079029,0.582297862,-0.07628274,0.340248317,0.625536382,-0.069793902
One,0.372968644,0.930502415,1.93E-07,0.421345502,0.849661291,-0.021310987,0.448433518,0.717370987,-0.034773998,0.438616633,0.610973835,-0.050448336,0.395572901,0.583020926,-0.06692598,0.388482928,0.545121789,-0.013746832,0.389770329,0.405787289,-0.032191988,0.390389174,0.321170747,-0.047073338,0.38719362,0.247403473,-0.060080744,0.347884059,0.561987281,-0.024392329,0.328132182,0.38767615,-0.059879918,0.362123668,0.433588386,-0.077842891,0.385879606,0.497171402,-0.081994615,0.313413918,0.607576907,-0.036512487,0.294208258,0.450188398,-0.073187999,0.340521514,0.498138428,-0.077451967,0.370224863,0.566948414,-0.071694985,0.279001117,0.678824723,-0.05044261,0.270948738,0.571539402,-0.081603102,0.310224354,0.592842042,-0.084230602,0.338719606,0.644296646,-0.080291301
One,0.369467378,0.935850739,1.68E-07,0.419707447,0.855703712,-0.021875329,0.447208375,0.727001905,-0.036524761,0.442168713,0.624159515,-0.053466912,0.404307425,0.590575814,-0.071354657,0.388526171,0.551672041,-0.016368926,0.391080052,0.4099994,-0.036448389,0.392523587,0.325400203,-0.052248567,0.388697773,0.250804991,-0.0661029,0.347894818,0.57028532,-0.027811335,0.328793019,0.389650196,-0.065815851,0.364328057,0.445291668,-0.085406266,0.386996537,0.51104784,-0.090509117,0.31267181,0.615843892,-0.040617906,0.294470608,0.45796591,-0.078761764,0.341562927,0.510938942,-0.083689481,0.369228333,0.579655528,-0.078367949,0.277796745,0.686000466,-0.055171669,0.270789802,0.5770877,-0.085496686,0.309080511,0.600380361,-0.087658547,0.334114164,0.650471151,-0.084067747
One,0.369092494,0.931679964,1.73E-07,0.41837129,0.855585933,-0.02140961,0.445444942,0.730640888,-0.035745591,0.43881619,0.631801128,-0.0523532,0.400752842,0.604271233,-0.069840349,0.387096047,0.552329063,-0.017798727,0.386992812,0.40743196,-0.03802551,0.386775821,0.323556125,-0.053685654,0.38276428,0.248558939,-0.067299314,0.346006185,0.571188927,-0.029118638,0.32738024,0.39289552,-0.067010649,0.360689431,0.447906375,-0.085721351,0.383288741,0.515274107,-0.090397634,0.310484618,0.617651522,-0.041709971,0.29153797,0.463131011,-0.079173692,0.33631897,0.518044233,-0.082995199,0.364090979,0.58845216,-0.077020817,0.276355505,0.688046992,-0.056129996,0.269136369,0.580549777,-0.08535675,0.306475699,0.606126308,-0.086443909,0.331821978,0.658850849,-0.082104206
One,0.372086823,0.931207418,1.97E-07,0.419104159,0.855427206,-0.022340151,0.444411457,0.730767429,-0.036796756,0.434618443,0.631656528,-0.05269194,0.396729559,0.608038127,-0.069128737,0.386551857,0.555451095,-0.020606309,0.386175126,0.405808687,-0.040935803,0.386192292,0.320771456,-0.056582134,0.38221547,0.247006565,-0.069872573,0.344694853,0.574722052,-0.030703662,0.323416591,0.398207784,-0.067878932,0.355590343,0.446951151,-0.085799024,0.377759904,0.513749242,-0.090060554,0.30920741,0.62234062,-0.041989293,0.286548644,0.470359296,-0.077999309,0.329805374,0.516576886,-0.081726946,0.357828915,0.581865609,-0.076307602,0.275004327,0.694434047,-0.055201981,0.264056861,0.592150986,-0.083874792,0.299760759,0.612994969,-0.085281931,0.3254067,0.6612643,-0.08128617
One,0.373344421,0.928670406,2.15E-07,0.41814068,0.859596133,-0.027307868,0.44369489,0.748195529,-0.045025211,0.434289694,0.668245196,-0.063189745,0.397366285,0.632603765,-0.081470422,0.386055917,0.554166794,-0.025348246,0.386824906,0.402207136,-0.047554895,0.3867217,0.316333592,-0.064381406,0.381772697,0.240196466,-0.07839489,0.341356546,0.577481627,-0.033998992,0.320308745,0.405030638,-0.073107377,0.353031576,0.464220703,-0.092439502,0.374386191,0.534606278,-0.097398147,0.303949088,0.630425274,-0.044239487,0.283037245,0.487318039,-0.082432508,0.324189246,0.538118362,-0.0861146,0.347171575,0.60210675,-0.080228277,0.270106852,0.708021641,-0.056635872,0.261313975,0.606525838,-0.085939437,0.29623118,0.635472953,-0.085361734,0.317002594,0.686906159,-0.079680443
